entropy,max_prob,accepted
1.851596713066101,0.303466796875,0
0.6645078659057617,0.6689453125,1
0.31888341903686523,0.91845703125,0
1.7348825931549072,0.492919921875,1
0.35970911383628845,0.921875,0
1.5179296731948853,0.402099609375,0
1.4376155138015747,0.6103515625,0
1.3693320751190186,0.5830078125,1
1.2610547542572021,0.6669921875,1
0.12777720391750336,0.982421875,1
0.006424608174711466,0.99951171875,1
1.954625129699707,0.3662109375,1
0.0732443556189537,0.99072265625,1
0.06106622517108917,0.9921875,1
0.35013312101364136,0.9248046875,1
0.006906931288540363,0.99951171875,1
0.0011159180430695415,1.0,1
0.0006167320534586906,1.0,1
0.0021487174089998007,1.0,1
0.6887217164039612,0.58447265625,1
0.01310967467725277,0.99853515625,1
0.016738690435886383,0.99755859375,1
0.004852278623729944,0.99951171875,1
0.3333180844783783,0.90380859375,1
0.001680418266914785,1.0,1
0.01413158979266882,0.99853515625,1
0.004228068049997091,0.99951171875,1
8.507595339324325e-05,1.0,1
0.0016620290698483586,1.0,1
0.0010762566234916449,1.0,1
8.262744813691825e-05,1.0,1
0.7377691864967346,0.51904296875,0
0.01075405441224575,0.9990234375,1
9.732629405334592e-05,1.0,1
0.00025533424923196435,1.0,1
0.04499088600277901,0.9931640625,1
0.07053710520267487,0.98681640625,1
1.3202803134918213,0.6640625,0
0.13008743524551392,0.98095703125,1
0.10518275201320648,0.9814453125,1
0.0719805434346199,0.98681640625,1
0.15151402354240417,0.97607421875,1
0.28236836194992065,0.935546875,1
0.03983857482671738,0.9951171875,1
0.3243046998977661,0.93994140625,1
0.7656311392784119,0.78564453125,1
0.0009246409172192216,1.0,1
0.008066541515290737,0.9990234375,1
0.08354250341653824,0.984375,1
0.0013493613805621862,1.0,1
0.00021758359798695892,1.0,1
0.008001739159226418,0.9990234375,1
0.0001280209398828447,1.0,1
0.00012147393863415346,1.0,1
0.00031318352557718754,1.0,1
6.016917177475989e-05,1.0,1
0.08965826779603958,0.982421875,1
